,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Biskupiec,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biskupiec,Zespół wychowania przedszkolnego,5.0,9.0,7.0
Biszcza,Szkoła podstawowa,4.583333333333333,6.9375,5.760416666666666
Biszcza,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bisztynek,Przedszkole,10.666666666666666,10.666666666666666,10.666666666666666
Bisztynek,Punkt przedszkolny,14.0,14.0,14.0
Bisztynek,Szkoła podstawowa,3.5294117647058822,11.466666666666667,7.165359477124184
Biłgoraj,Gimnazjum,0.6923076923076923,4.40625,2.1329727564102563
Biłgoraj,Liceum ogólnokształcące,5.777777777777778,10.447058823529412,8.112418300653594
Biłgoraj,Młodzieżowy dom kultury,0.0,0.0,0.0
Biłgoraj,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Biłgoraj,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty,0.0,0.0,0.0
